description,_source_file,aprlGuid,automationAvailable,learnMoreLink,longDescription,pgVerified,potentialBenefits,recommendationControl,recommendationImpact,recommendationMetadataState,recommendationResourceType,recommendationTypeId,tags
Use Azure Disks with Zone Redundant Storage for higher resiliency and availability,azure-resources/Compute/disks/recommendations.yaml,fa0cf4f5-0b21-47b7-89a9-ee936f193ce1,True,"[{'name': 'Redundancy options for managed disks', 'url': 'https://aka.ms/zrsdisksdoc'}]","Azure disks offers a zone-redundant storage (ZRS) option for workloads that need to be resilient to an entire zone being down. Due to the cross-zone data replication, ZRS disks have higher write latency when compared to the locally-redundant option (LRS), so make sure to benchmark your disks.
",True,Enhanced Disk resilience to failures,HighAvailability,Medium,Active,Microsoft.Compute/disks,d4102c0f-ebe3-4b22-8fe0-e488866a87af,[]
A minimum of three replicas should be kept for production image versions,azure-resources/Compute/galleries/recommendations.yaml,b49a39fd-f431-4b61-9062-f2157849d845,True,"[{'name': 'Compute Gallery best practices', 'url': 'https://learn.microsoft.com/azure/virtual-machines/azure-compute-gallery#best-practices'}]","Keeping a minimum of 3 replicas for production images in Azure's Compute Gallery ensures scalability and prevents throttling in multi-VM deployments by distributing VM deployments across different replicas. This reduces the risk of overloading a single replica.
",True,Enhances scalability and avoids throttling,HighAvailability,Medium,Active,Microsoft.Compute/galleries/images/versions,,[]
Zone redundant storage should be used for image versions,azure-resources/Compute/galleries/recommendations.yaml,488dcc8b-f2e3-40ce-bf95-73deb2db095f,True,"[{'name': 'Compute Gallery best practices', 'url': 'https://learn.microsoft.com/azure/virtual-machines/azure-compute-gallery#best-practices'}]","Use ZRS for high availability when creating image/VM versions in Azure Compute Gallery, offering resilience against Availability Zone failures. ZRS accounts are advisable in regions with Availability Zones, with the choice of Standard_ZRS recommended over Standard_LRS for these regions.
",True,Enhances image version availability,HighAvailability,Medium,Active,Microsoft.Compute/galleries/images/versions,,[]
Consider creating TrustedLaunchSupported images where possible,azure-resources/Compute/galleries/recommendations.yaml,1c5e1e58-4e56-491c-8529-10f37af9d4ed,True,"[{'name': 'Compute Gallery best practices', 'url': 'https://learn.microsoft.com/azure/virtual-machines/azure-compute-gallery#best-practices'}]","We recommend creating Trusted Launch Supported Images for benefits like Secure Boot, vTPM, trusted launch VMs, large boot volume. These are Gen 2 Images by default and you cannot change a VM's generation after creation, so review the considerations first.
",True,Enhances VM security and features,HighAvailability,Low,Disabled,Microsoft.Compute/galleries,,[]
Create Image Versions replicas in secondary region,azure-resources/Compute/galleries/recommendations.yaml,b14ee8ed-7d27-447b-b6fb-6472cb5f4b75,False,"[{'name': 'Compute Gallery Replication', 'url': 'https://learn.microsoft.com/azure/virtual-machines/azure-compute-gallery#replication'}]","On multi-region deployments, replicate Image Versions to a secondary region to ensure disaster recovery capability. This ensures that the Image Versions are available in the secondary region in case of a disaster in the primary region.
",True,Enhances disaster recovery capability,DisasterRecovery,Medium,Active,Microsoft.Compute/galleries,,[]
Configure Image version replica count per region.,azure-resources/Compute/galleries/recommendations.yaml,b3c3ba1d-7de6-442d-8c50-023330fbf765,False,"[{'name': 'Compute Gallery Scaling', 'url': 'https://learn.microsoft.com/azure/virtual-machines/azure-compute-gallery#scaling'}]","You can set a different replica count in each target region, based on the scale needs for the region. For every 20 VMs that you create concurrently, we recommend you keep one replica.
",True,Enhances disaster recovery capability,DisasterRecovery,Medium,Active,Microsoft.Compute/galleries,,[]
Deploy VMSS with Flex orchestration mode instead of Uniform,azure-resources/Compute/virtualMachineScaleSets/recommendations.yaml,e7495e1c-0c75-0946-b266-b429b5c7f3bf,True,"[{'name': 'When to use VMSS instead of VMs', 'url': 'https://learn.microsoft.com/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-design-overview#when-to-use-scale-sets-instead-of-virtual-machines'}]","Deploying even single instance VMs into a scale set with Flexible orchestration mode future-proofs applications for scaling and availability. This mode guarantees high availability (up to 1000 VMs) by distributing VMs across fault domains in a region or within an Availability Zone.
",True,Higher scalability and availability,Scalability,Medium,Active,Microsoft.Compute/virtualMachineScaleSets,,[]
Enable Azure Virtual Machine Scale Set Application Health Monitoring,azure-resources/Compute/virtualMachineScaleSets/recommendations.yaml,94794d2a-eff0-2345-9b67-6f9349d0a627,True,"[{'name': 'Using Application Health extension with Virtual Machine Scale Sets', 'url': 'https://learn.microsoft.com/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-health-extension?tabs=rest-api'}]","Monitoring application health in Azure Virtual Machine Scale Sets is crucial for deployment management. It supports rolling upgrades such as automatic OS-image upgrades and VM guest patching, leveraging health monitoring for upgrading.
",True,Enhances deployment management and upgrades,MonitoringAndAlerting,Medium,Active,Microsoft.Compute/virtualMachineScaleSets,3b587048-b04b-4f81-aaed-e43793652b0f,[]
Enable Automatic Repair Policy on Azure Virtual Machine Scale Sets,azure-resources/Compute/virtualMachineScaleSets/recommendations.yaml,820f4743-1f94-e946-ae0b-45efafd87962,True,"[{'name': 'Automatic instance repairs for Azure Virtual Machine Scale Sets', 'url': 'https://learn.microsoft.com/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-automatic-instance-repairs#requirements-for-using-automatic-instance-repairs'}]","Enabling automatic instance repairs in Azure Virtual Machine Scale Sets enhances application availability through a continuous health check and maintenance process.
",True,Boosts app availability by auto-repair,HighAvailability,High,Active,Microsoft.Compute/virtualMachineScaleSets,b4d988a9-85e6-4179-b69c-549bdd8a55bb,[]
Configure VMSS Autoscale to custom and configure the scaling metrics,azure-resources/Compute/virtualMachineScaleSets/recommendations.yaml,ee66ff65-9aa3-2345-93c1-25827cf79f44,True,"[{'name': 'Get started with autoscale in Azure', 'url': 'https://learn.microsoft.com/azure/azure-monitor/autoscale/autoscale-get-started?WT.mc_id=Portal-Microsoft_Azure_Monitoring'}]","Use custom autoscale for VMSS based on metrics and schedules to improve performance and cost effectiveness, adjusting instances as demand changes.
",True,Enhances performance and cost-efficiency,Scalability,High,Active,Microsoft.Compute/virtualMachineScaleSets,,[]
Enable Predictive autoscale and configure at least for Forecast Only,azure-resources/Compute/virtualMachineScaleSets/recommendations.yaml,3f85a51c-e286-9f44-b4dc-51d00768696c,True,"[{'name': 'Use predictive autoscale to scale out before load demands in virtual machine scale sets', 'url': 'https://learn.microsoft.com/azure/azure-monitor/autoscale/autoscale-predictive'}]","Predictive autoscale utilizes machine learning to efficiently manage and scale Azure Virtual Machine Scale Sets by forecasting CPU load through historical usage analysis, ensuring timely scale-out to meet demand.
",True,Optimizes scaling with ML predictions,Scalability,Low,Active,Microsoft.Compute/virtualMachineScaleSets,,[]
Disable Force strictly even balance across zones to avoid scale in and out fail attempts,azure-resources/Compute/virtualMachineScaleSets/recommendations.yaml,b5a63aa0-c58e-244f-b8a6-cbba0560a6db,True,"[{'name': 'Use scale-in policies with Azure Virtual Machine Scale Sets', 'url': 'https://learn.microsoft.com/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-scale-in-policy'}]","Microsoft advises disabling strictly even VM instance distribution across Availability Zones in VMSS to improve scalability and flexibility, noting that uneven distribution may better serve application load demands despite the potential trade-off in resilience.
",True,"Improves scaling, reduces fail attempts",HighAvailability,High,Active,Microsoft.Compute/virtualMachineScaleSets,,[]
Deploy VMSS across availability zones with VMSS Flex,azure-resources/Compute/virtualMachineScaleSets/recommendations.yaml,1422c567-782c-7148-ac7c-5fc14cf45adc,True,"[{'name': 'Create a Virtual Machine Scale Set that uses Availability Zones', 'url': 'https://learn.microsoft.com/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-use-availability-zones'}]","When creating VMSS, implement availability zones as a protection measure for your applications and data against the rare event of datacenter failure.
",True,Enhances disaster resilience,HighAvailability,High,Active,Microsoft.Compute/virtualMachineScaleSets,,[]
Set Patch orchestration options to Azure-orchestrated,azure-resources/Compute/virtualMachineScaleSets/recommendations.yaml,e4ffd7b0-ba24-c84e-9352-ba4819f908c0,True,"[{'name': 'Automatic VM Guest Patching for Azure VMs', 'url': 'https://learn.microsoft.com/azure/virtual-machines/automatic-vm-guest-patching'}]","Enabling automatic VM guest patching eases update management by safely, automatically patching virtual machines to maintain security compliance, while limiting blast radius of VMs. Note, the KQL will not return sets using Uniform orchestration.
",True,"Eases patch management, enhances security",OtherBestPractices,Low,Disabled,Microsoft.Compute/virtualMachineScaleSets,,[]
Upgrade VMSS Image versions scheduled to be deprecated or already retired,azure-resources/Compute/virtualMachineScaleSets/recommendations.yaml,83d61669-7bd6-9642-a305-175db8adcdf4,False,"[{'name': 'Deprecated Azure Marketplace images', 'url': 'https://learn.microsoft.com/azure/virtual-machines/deprecated-images'}]","Ensure current versions of images are in use to avoid disruption after image deprecation. Please review the publisher, offer, sku information of the VM to ensure you are running on a supported image. Enable Auto Guest Patching or Image Upgrades, to get notifications about image deprecation.
",True,Avoid disruptions by updating VMSS images.,OtherBestPractices,High,Active,Microsoft.Compute/virtualMachineScaleSets,3b739bd1-c193-4bb6-a953-1362ee3b03b2,[]
Use Ephemeral OS Disks for AKS VMSS Node Pools,azure-resources/Compute/virtualMachineScaleSets/recommendations.yaml,a7bfcc18-b0d8-4d37-81f3-8131ed8bead5,True,"[{'name': 'Ephemeral OS disk', 'url': 'https://learn.microsoft.com/azure/aks/concepts-storage#ephemeral-os-disk'}]","Ephemeral OS disks on AKS offer lower read/write latency due to local attachment, eliminating the need for replication seen with managed disks. This enhances performance and speeds up cluster operations such as scaling or upgrading due to quicker re-imaging and boot times.
",True,"Lower latency, faster re-imaging and booting",Scalability,Medium,Active,Microsoft.Compute/virtualMachineScaleSets,,[]
Run production workloads on two or more VMs using VMSS Flex,azure-resources/Compute/virtualMachines/recommendations.yaml,273f6b30-68e0-4241-85ea-acf15ffb60bf,True,"[{'name': 'What has changed with Flexible orchestration mode', 'url': 'https://learn.microsoft.com/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-orchestration-modes#what-has-changed-with-flexible-orchestration-mode'}]","Production VM workloads should be deployed on multiple VMs and grouped in a VMSS Flex instance to intelligently distribute across the platform, minimizing the impact of platform faults and updates.
",True,Enhanced fault/update resilience,HighAvailability,High,Active,Microsoft.Compute/virtualMachines,5f2613df-629f-4b07-9425-2a47ea0dfad3,[]
